Country,LifeExpectancy,YearsSchool,GDP,GII,EduIndex,PubHealthExp
Algeria,71.7,6.4,7176,0.457,0.603,2.7
Argentina,74.8,8.9,10819,0.381,0.777,4.7
Australia,80.9,11.9,32698,0.139,0.977,5.8
Austria,79.6,9.9,33377,0.13,0.813,7.9
Belgium,79,10.6,32127,0.129,0.865,7.4
Brazil,71.6,6.6,8505,0.471,0.645,3.3
Canada,80.1,11.3,35033,0.147,0.895,7
Chile,78.4,9.3,12172,0.396,0.761,3.5
China,72.1,7.1,4115,0.224,0.579,1.8
Cyprus,78.6,9,24403,0.145,0.734,2.7
Denmark,77.8,11.1,33214,0.068,0.914,7.9
Egypt,71.6,5.5,4319,0.599,0.519,2.3
Finland,78.8,10.1,30684,0.102,0.878,6.2
France,80.3,9.9,29809,0.139,0.844,8.8
Germany,79.3,12.2,31364,0.105,0.929,8.2
Greece,79.3,9.8,24640,0.18,0.852,5.7
India,63.3,4,2300,0.646,0.419,1
Iran (Islamic Republic of),71.3,6.1,9314,0.494,0.577,3.2
Ireland,78.7,11.4,38578,0.196,0.943,5.6
Israel,80.1,11.9,23390,0.172,0.902,4.6
Japan,82.3,11.2,30310,0.149,0.862,6.7
Malaysia,72.9,8.9,11755,0.305,0.711,1.8
Mexico,75.6,7.8,12593,0.463,0.673,2.7
Netherlands,79.5,11,35105,0.077,0.895,5.9
New Zealand,79.6,12.2,25305,0.189,0.989,6.7
Nigeria,49,5,1737,0.617,0.442,1.9
Norway,79.8,12.7,47305,0.083,0.991,7.6
Pakistan,64.1,4.5,2184,0.611,0.358,0.7
Philippines,67.4,8.6,2927,0.458,0.666,1.3
Russian Federation,66.1,9.7,11853,0.358,0.769,3.2
Saudi Arabia,72.5,7.2,21220,0.682,0.651,2.6
South Africa,51.1,8.2,8597,0.52,0.689,3.5
Spain,80,9.7,27377,0.118,0.83,5.8
Sweden,80.5,11.7,32723,0.065,0.909,7.5
Switzerland,81.3,10.8,35784,0.084,0.852,6.7
Turkey,72.1,6.1,10977,0.515,0.548,4.1
United Kingdom,79,8.9,32731,0.216,0.809,6.7
United States,77.6,12.5,42534,0.311,0.931,6.9
Viet Nam,73.8,4.9,2143,0.315,0.477,1.5
Yemen,62.7,1.8,2194,0.791,0.262,1.7
Zambia,44.4,6.3,1127,0.647,0.471,3.9
